id,siteName,customerProgram,region,notes
b9104e44-45b2-447d-86e8-5ff7d580f1da,Shurgard Alperton,SHURGARD,West/North,
160e7508-fb5b-4188-881c-9c2bb0c09e5a,Shurgard Aldershot,SHURGARD,Nexus-Direct,
c36bce50-6f25-4a85-90cd-adea19646d0f,Shurgard Ashford,SHURGARD,Nexus-Direct,
9c67e886-b4e4-4063-9de4-2da1c0cafb48,Shurgard Bedford,SHURGARD,Nexus-Direct,
ab3776cc-d105-4191-8ced-ad3d9912863e,Shurgard Basildon,SHURGARD,East,
e7affd24-cea2-4f0a-bf7d-da7b6b0919f7,Shurgard Bristol,SHURGARD,Nexus-Direct,unable 07495656794 frentisco | 441158502108
cbfc5022-f9d6-4c13-b745-e6e43dbb31a2,Shurgard Barking,SHURGARD,East,
d3fbd0fd-3050-4622-b621-129d849b385a,Shurgard Bloomsbury,SHURGARD,West/North,
79e2bac9-b52a-4f49-be6d-b1a0fdff6000,Shurgard Bow,SHURGARD,South,Zaryab doing
d07c4269-e7ef-451b-8bbb-454ed9c38441,Shurgard Basingstoke,SHURGARD,West/North,
be17c5bf-e33f-4135-85dc-ca1fe8621cfa,Shurgard Bromborough,SHURGARD,Nexus-Direct,
bf242b0e-34ba-4c88-899e-487d465299a5,Shurgard Broadstairs,SHURGARD,Nexus-Direct,
afcf6b6c-b434-4675-998d-8b15de0588f1,Shurgard Crawley,SHURGARD,West/North,
b5f32178-9bf2-4f62-8e4b-860fd2a98126,Shurgard Chiswick,SHURGARD,West/North,
8a13481e-fd23-4180-962f-6508aea16688,Shurgard Camberley,SHURGARD,West/North,
a2258d61-531c-4655-8704-fa49343add63,Shurgard Camden,SHURGARD,West/North,
a5fa712f-2b1a-491a-b3fd-24baa8e4920f,Shurgard Chalk farm,SHURGARD,West/North,
a5ac8b4f-cea2-4ef9-bb0a-e8bd193b8793,Shurgard Chadwell Heath,SHURGARD,East,
a15c6719-79f1-4bfe-a0a8-80bc6cf48e20,Shurgard Croydon Purley Way,SHURGARD,South,if no Response Call Kiffat
cd4a15eb-5fd4-4fd3-97d2-94db306a1188,Shurgard Croydon Fiveways,SHURGARD,South,if no Response Call Kiffat
44f44f8c-87fe-40cc-ba73-05f18f075314,Shurgard Chichester,SHURGARD,Nexus-Direct,
b2d90082-90f1-4659-91fb-3b2c9431195e,Shurgard City Airport,SHURGARD,East,
27893f4b-f3bf-45b0-9704-a4d5d85cb969,Shurgard Chingford,SHURGARD,East,
4b980353-0d30-4a0a-83e1-45365509b54e,Shurgard Crayford,SHURGARD,South,if no Response Call Kiffat
ce68b46c-4571-49f9-b0ac-00d56cbf0070,Shurgard Cardiff,SHURGARD,Nexus-Direct,
a55054f2-b326-4033-849b-5e8f4aa827ce,Shurgard Dover,SHURGARD,Nexus-Direct,
aea5c313-6cf6-46ca-831a-f77cb88ae0a5,Shurgard Deptford,SHURGARD,South,if no Response Call Kiffat
3b8da035-2951-4454-8aa8-a23a87d56d49,Shurgard Euston,SHURGARD,West/North,
cdb7f336-83e7-4745-943b-874abd6cd586,Shurgard Edgeware,SHURGARD,West/North,
5cc250de-687c-4d1d-a1ec-064febf2c8cf,Shurgard Epsom,SHURGARD,West/North,
d28ed872-1801-47db-bb14-c9eab25a32c8,Shurgard Exeter,SHURGARD,Nexus-Direct,
e463c5b5-8a7a-4f39-a4ab-bc4bb16cbb2f,Shurgard Eastbourne - Hawthorne Road,SHURGARD,Nexus-Direct,
cf87eb9f-d3f5-4b59-9df8-c87e4872e113,Shurgard Fareham,SHURGARD,Nexus-Direct,
90857aaf-d904-482e-a38d-62e884175a9c,Shurgard Forest Hill,SHURGARD,East,Wrong written as per zaryarb bhi Bhatti and Sheraz need to respond
86f48d43-3bfc-4154-a1b7-ee6371de8c02,Shurgard Farnborough,SHURGARD,Nexus-Direct,
2dac6336-d9e1-4dbc-8db4-42865af8a8f6,Shurgard Greenwich,SHURGARD,South,if no Response Call Kiffat
85550e19-7f68-4da1-82e8-64b1018e45b8,Shurgard Greenford,SHURGARD,West/North,
03ec83fc-a304-4057-ac11-9a9ea79d7ac6,Shurgard Gypsy Corner,SHURGARD,West/North,
06ea1c67-72de-4c1a-8cf2-11a688efba7c,Shurgard Gillingham,SHURGARD,Nexus-Direct,
0b4fd11c-093b-4d3c-bf0b-4d230d8625d6,Shurgard Gloucester,SHURGARD,Nexus-Direct,
9993377e-1ad3-4802-b1a0-1b326e173013,Shurgard Hayes,SHURGARD,West/North,
83993174-bc9a-41d9-8577-d017d40a4d86,Shurgard Hanworth,SHURGARD,West/North,
83381865-8123-4d32-b000-1a0ee65ec4ac,Shurgard Harrow,SHURGARD,West/North,
0f9f6446-1156-4eb3-8360-7c6fc1ecd7a6,Shurgard Herne Hill,SHURGARD,South,if no Response Call Kiffat
a95e3da9-a9fa-41eb-885a-1220f999d8d0,Shurgard Harlow,SHURGARD,East,
ce2f2bdb-6a8f-44a4-98af-b7adda9324fb,Shurgard Horsham,SHURGARD,West/North,
983a3e8a-7256-4de9-b0f2-3a2b0101dbfa,Shurgard Hemel Hempstead,SHURGARD,West/North,
08b28946-f39d-4bb5-a547-0c166fc7e131,Shurgard Hedge End,SHURGARD,Nexus-Direct,
f20e3544-0b49-4702-aa93-97534923950d,Shurgard Ipswich,SHURGARD,Nexus-Direct,
3d08dd21-ffb4-41e6-88af-2b33da1fe9c8,Shurgard Kettering,SHURGARD,Nexus-Direct,
9293e247-09b5-4fa5-ba4d-2761acaf92da,Shurgard Kings Cross,SHURGARD,West/North,
0c798fee-792c-454c-b2f5-90782f97eac2,Shurgard Kennington,SHURGARD,West/North,
3b81ccb1-72ba-42cd-b635-62a7ac23ac85,Shurgard Kensington,SHURGARD,West/North,
d630d8e5-4b08-4d35-9cc3-4e0d5bcfae2c,Shurgard Kentish Town,SHURGARD,West/North,
8abb623b-05ba-4883-81da-d72af115c5d5,Shurgard Kinghtsbridge,SHURGARD,West/North,
ef00f085-4ce7-47c8-8f31-24e69f7fef56,Shurgard Luton,SHURGARD,Nexus-Direct,
bd191a24-a94e-4c3a-8507-c7c3b9f320bf,Shurgard leicester,SHURGARD,Nexus-Direct,
6716ded1-e7fe-41a0-becb-df28631f5a98,Shurgard Maidenhead,SHURGARD,West/North,
e2ca2393-0108-42cc-b3f2-cb1f31870701,Shurgard Milton Keynes - Kingston,SHURGARD,Nexus-Direct,
b9abe060-9781-4d8c-9ca0-067cbe71d7b7,Shuragrd Northampton Central,SHURGARD,Nexus-Direct,
ec1aba11-76ae-4417-ad36-f269a973bfcf,Shurgard Northampton Riverside,SHURGARD,Nexus-Direct,
d191a746-7dba-46a5-9759-c2f2bc5e2794,Shurgard Neasdon,SHURGARD,West/North,
6cd81535-e862-4343-9381-71f0f7a0930d,Shurgard Norbury,SHURGARD,South,if no Response Call Kiffat
1f2216d9-3e37-4367-8c76-2d4ba9180808,Shurgard Oldbury - Birmingham,SHURGARD,Nexus-Direct,
72f21851-0458-4e68-bf53-66cc0c890678,Shurgard Putney,SHURGARD,South,if no Response Call Kiffat
3fc8d3bf-d441-4ddd-92a4-52dd4f9c1161,Shurgard Portsmouth,SHURGARD,Nexus-Direct,
1ac09c20-82ab-4b78-88c0-5e3e7dbc5d30,Shurgard Peterborough,SHURGARD,Nexus-Direct,
714f489d-ef6b-4316-b9e9-aec5b4709d01,Shurgard Poole,SHURGARD,Nexus-Direct,
88cccdc5-155c-47d4-bd29-887c3fe8cd98,Shurgard Ruislip,SHURGARD,West/North,
30989ae5-5b83-4178-b1a1-cd6ab316b75a,Shurgard Reading,SHURGARD,West/North,
e7ec01a9-590f-45f6-9a22-e5a581819ab4,Shurgard Reading - Relief Road,SHURGARD,West/North,
5b9765f6-bf94-4b0c-96e3-372459810a0f,Shurgard Romford,SHURGARD,East,
63de2b8d-7cd8-4f38-8818-deb46ef9ee03,Shurgard Stevenage,SHURGARD,West/North,
78b9a865-f83b-45f6-a15f-b4508a5af6ea,Shurgard Staines,SHURGARD,West/North,
01085d9b-45e6-4ade-9f1e-b2294e70c274,Shurgard Southwark,SHURGARD,South,if no Response Call Kiffat
e54c42ab-8470-4d10-9804-28ca34dbb957,Shurgard Swindon,SHURGARD,Nexus-Direct,
b26514a8-c13e-47b8-8de7-4fe19baeecf4,Shurgard Surbiton,SHURGARD,West/North,
74b744a7-4274-4f3f-833e-d2d1f2de98df,Shurgard South Croydon,SHURGARD,South,if no Response Call Kiffat
d622a7af-4607-4ef8-a1e0-6e22ff4753db,Shurgard Salford,SHURGARD,Nexus-Direct,
40d7e38f-7b01-4a83-b299-c74b193a3651,Shurgard Southampton,SHURGARD,Nexus-Direct,
1b5d9f7c-d50a-4219-b120-149496bc83a8,Shurgard Tottenham,SHURGARD,West/North,
733ae7f8-82af-4043-811d-969ceed7fada,Shurgard Tonbridge,SHURGARD,Nexus-Direct,
650d0948-d360-4e40-be8c-d6236ae60d55,Shurgard Wellingborough,SHURGARD,Nexus-Direct,
b7b963ae-f17c-4b76-b30a-4dc1c4038454,Shurgard Wokingham,SHURGARD,West/North,
d34f2060-410d-47a8-97c6-66288284c9ed,Shurgard Watford,SHURGARD,West/North,
44cf0c71-e0a6-41c7-a8ea-30560a1271cc,Shurgard Wandsworth,SHURGARD,West/North,
d074a6ff-1956-470c-bed7-fdd8bc68a0ff,Shurgard Warrington,SHURGARD,Nexus-Direct,
92c231bb-8411-4dc6-b61f-8693e8f79e15,Shurgard Woolwich,SHURGARD,South,if no Response Call Kiffat
0158ae47-68f0-4bb3-884d-e31aa199dc37,Shurgard Wolverhampton,SHURGARD,Nexus-Direct,
